product_id,product_name,price,stock,category
PRD010001,Rokok Surya 16,31000,40,Rokok
PRD010002,Kopi Kapal Api Sachet,Rp 1.500,,Minuman
PRD010003,Shampo Lifebuoy Sachet,1000.00,45,Perawatan Pribadi
PRD010004,, 13000 ,28,
PRD010005,,Rp 1.000,90,Perawatan Pribadi
PRD010006,Deterjen Attack Jaz1 800g,Rp 19.000,1,Pembersih
PRD010007,Saus Sambal Indofood 340ml,Rp 14500,99,Bumbu
PRD010008,Teh Pucuk Harum 350ml,Rp 4.000,87,Minuman
PRD010009,Indomie Kuah Soto,2800.00,3,Makanan
PRD010010,Teh Celup Sosro,Rp 7000,4,Minuman
PRD010011,Kopi Kapal Api Sachet,1500,0,
PRD010012,Coca Cola Botol 390ml,Rp 5.000,-42,Minuman
PRD010013,Kopi Nescafe Classic,5000,-77,Minuman
PRD010014,Garam Kapal 250g,Rp 3000,83,Bumbu
PRD010015,Pasta Gigi Ciptadent 190g,10000,47,Perawatan Pribadi
PRD010016,,10000,86,Perawatan Pribadi
PRD010017,Popok Sweety Bronze Pants L,48000.00,-53,Perawatan Bayi
PRD010018,Minyak Bimoli 2L,35000,64,Sembako
PRD010019,Rokok Gudang Garam Filter,23000,-65,Rokok
PRD010020,Gula Curah 1kg,15000.00,21,Sembako
PRD010021,Rokok Djarum Super,,0,Rokok
PRD010022,Pembalut Charm Cooling Fresh,18000.00,70,Perawatan Pribadi
PRD010023,Susu Dancow Sachet,3500,72,Minuman
,,Rp 21000,70,Minuman
PRD010025,Tepung Beras Rose Brand 500g, 7500 ,13,Sembako
PRD010026,,9500.00,46,Sembako
PRD010027,Pembersih Lantai Wipol 750ml,Rp 18000,42,Pembersih
PRD010028,Garam Kapal 250g,Rp 3000,79,Bumbu
PRD010029,Pembersih Lantai Super Pell 770ml,13500,59,Pembersih
PRD010030,Coca Cola Botol 390ml,Rp 5000,24,Minuman
PRD010031,Shampo Lifebuoy Sachet,1000,15,Perawatan Pribadi
PRD010032,Kecap ABC Pouch 220ml,9500,,Bumbu
PRD010033,Rokok Gudang Garam Filter,23000,,Rokok
PRD010034,Deterjen Daia 850g,18500,-27,Pembersih
PRD010035,Beras Rojolele 5kg,67000.00,39,Sembako
PRD010036,,Rp 35.000,32,Sembako
PRD010037,Baterai Alkalin AA (2 pcs),15000,76.0,Lainnya
,Pembersih Lantai Super Pell 770ml,Rp 13500,57,Pembersih
PRD010039,Rokok Gudang Garam Filter,23000,90,Rokok
,Minyak Filma 2L,Rp 34.000,95,Sembako
PRD010041,,15000,29,Sembako
PRD010042,Pembersih Lantai Super Pell 770ml,13500,54,Pembersih
PRD010043,Kopi Torabika Susu,1500.00,37,Minuman
PRD010044,Aqua Gelas 240ml,Rp 1.000,27.0,
PRD010045,Pasta Gigi Pepsodent 190g,Rp 12500,30,Perawatan Pribadi
PRD010046,Susu Frisian Flag Sachet,1500.00,83,Minuman
PRD010047,Susu Dancow Sachet,Rp 3.500,31,Minuman
PRD010048,Tepung Beras Rose Brand 500g,7500.00,,Sembako
PRD010049,Sabun Lifebuoy Merah,4000,67,Perawatan Pribadi
PRD010050,Kapur Barus Bagus,Rp 15.000,75,Lainnya
PRD010051,Obat Nyamuk Baygon Bakar,Rp 6.000,41,Lainnya
PRD010052,Sprite Botol 390ml,5000.00,52.0,Minuman
PRD010053,Gula Pasir Gulaku 1kg,16000,66,Sembako
,Minyak Curah 1L,Rp 16.000,92,Sembako
PRD010055,Rokok Surya 16, 31000 ,93,Rokok
PRD010056,Minyak Bimoli 2L, 35000 ,10,Sembako
,Margarin Forvita 200g, 7000 ,,Sembako
PRD010058,Kopi ABC Susu,Rp 1.500,42,Minuman
PRD010059,Tepung Terigu Segitiga Biru 1kg,13000,85,Sembako
PRD010060,Kopi Nescafe Classic,5000,35,Minuman
PRD010061,Teh Celup Sosro,7000,32,Minuman
PRD010062,Bumbu Racik Indofood Nasi Goreng,Rp 2500,18,Bumbu
PRD010063,Coca Cola Botol 390ml,5000.00,-92,Minuman
PRD010064,Popok Sweety Bronze Pants L,48000.00,,Perawatan Bayi
PRD010065,Kopi ABC Susu,Rp 1500,64,Minuman
PRD010066,Sprite Botol 390ml,Rp 5000,3,Minuman
PRD010067,Beras Rojolele 5kg,Rp 67.000,66,Sembako
PRD010068,Indomie Kari Ayam,Rp 2800,-36,
PRD010069,Susu Frisian Flag Sachet,1500,80,Minuman
PRD010070,,35000.00,-4,Sembako
PRD010071,Kopi Luwak White Koffie,Rp 2.000,14,Minuman
PRD010072,Teh Celup Sosro,,-40,Minuman
PRD010073,Bumbu Racik Indofood Sayur Asem,Rp 2500,28,Bumbu
PRD010074,Kopi Kapal Api Sachet,1500.00,57,Minuman
PRD010075,Pembalut Charm Cooling Fresh,18000,2,Perawatan Pribadi
PRD010076,Tisu Tessa 250s,Rp 17000,97,Lainnya
PRD010077,Margarin Blue Band 200g,Rp 9.500,13,Sembako
PRD010078,Kopi ABC Susu,Rp 1500,10,Minuman
PRD010079,Kopi Torabika Susu,1500,73,Minuman
PRD010080,Sabun Cuci Piring Mama Lemon 400ml,9500,-21,Pembersih
PRD010081,Kapur Barus Bagus,Rp 15.000,58,Lainnya
PRD010082,Margarin Forvita 200g, 7000 ,36,Sembako
PRD010083,Pembersih Lantai Super Pell 770ml,13500.00,,Pembersih
PRD010084,,70000.00,,Sembako
,Garam Refina 250g, 3500 ,90,Bumbu
PRD010086,Beras Rojolele 5kg,Rp 67.000,39,
PRD010087,Beras Rojolele 5kg,67000.00,68,Sembako
PRD010088,Susu Dancow Sachet,Rp 3.500,9,Minuman
PRD010089,Mie Sedap Goreng,2900,29,Makanan
