kode_barang,nama_produk,harga_jual,jumlah_stok,kategori
PRD040001,Margarin Blue Band 200g, 9500 ,69,
PRD040002,Kapur Barus Bagus,Rp 15000,61,Lainnya
PRD040003,Susu Frisian Flag Sachet,1500,46,Minuman
PRD040004,,Rp 5.000,51,Minuman
,Rokok Djarum Super,22000,48,Rokok
PRD040006,Indomie Kuah Soto,Rp 2.800,30,Makanan
PRD040007,Beras Rojolele 5kg,67000.00,43,Sembako
PRD040008,Garam Kapal 250g,3000,,Bumbu
PRD040009,Susu Frisian Flag Sachet,1500.00,33,Minuman
PRD040010,Rokok Djarum Super,22000,60,Rokok
PRD040011,Pembalut Charm Cooling Fresh,,73,Perawatan Pribadi
PRD040012,Kopi Nescafe Classic,Rp 5.000,20.0,Minuman
PRD040013,Bumbu Racik Indofood Sayur Asem,2500,13,Bumbu
PRD040014,Teh Pucuk Harum 350ml,Rp 4.000,32,Minuman
PRD040015,Deterjen Rinso Anti Noda 700g, 22000 ,27,Pembersih
PRD040016,Aqua Gelas 240ml,1000,66,Minuman
PRD040017,Kopi ABC Susu,Rp 1500,18.0,Minuman
PRD040018,Gula Pasir Gulaku 1kg,16000.00,66.0,Sembako
PRD040019,Rokok Marlboro Merah,38000,39,Rokok
PRD040020,Beras Ramos 5kg,65000,-93,Sembako
PRD040021,Baterai ABC Sedang (2 pcs),10000,15,Lainnya
PRD040022,Rokok Gudang Garam Filter,Rp 23.000,85,Rokok
PRD040023,Tisu Paseo 250s,18500.00,45,Lainnya
PRD040024,Tisu Paseo 250s,Rp 18.500,5,Lainnya
PRD040025,Indomie Kuah Ayam Bawang,2800,47.0,Makanan
PRD040026,Susu Dancow Sachet,Rp 3500,79,Minuman
PRD040027,Kecap Bango Pouch 220ml,Rp 11.000,11,Bumbu
PRD040028,Shampo Sunsilk Sachet,,40,Perawatan Pribadi
PRD040029,,1500,,Minuman
PRD040030,,Rp 2800,57,Makanan
PRD040031,,5000.00,83,Minuman
PRD040032,Shampo Lifebuoy Sachet,Rp 1.000,84,Perawatan Pribadi
PRD040033,Coca Cola Botol 390ml,5000,-34,Minuman
PRD040034,Aqua Galon,21000.00,48,Minuman
PRD040035,Rokok Djarum Super,22000.00,66,Rokok
PRD040036,Teh Pucuk Harum 350ml,4000,86,Minuman
PRD040037,Aqua Galon,21000,30,Minuman
PRD040038,Pasta Gigi Ciptadent 190g,10000,43,Perawatan Pribadi
PRD040039,Bumbu Racik Indofood Sayur Asem, 2500 ,28,Bumbu
PRD040040,Rokok Surya 16,Rp 31.000,76,
PRD040041,Kecap Bango Pouch 220ml,11000.00,11,Bumbu
PRD040042,,5000.00,95,Minuman
PRD040043,Popok Sweety Bronze Pants L, 48000 ,,Perawatan Bayi
PRD040044,Obat Nyamuk Hit Spray, 35000 ,72,Lainnya
PRD040045,Aqua Galon,21000,98.0,Minuman
PRD040046,Coca Cola Botol 390ml,5000.00,35.0,Minuman
PRD040047,Kopi Nescafe Classic,Rp 5000,2,Minuman
PRD040048,Obat Nyamuk Hit Spray,Rp 35000,49,Lainnya
PRD040049,Minyak Filma 2L,Rp 34000,12,Sembako
PRD040050,Minyak Bimoli 2L,35000.00,39,Sembako
PRD040051,Minyak Sania 2L,Rp 34.500,4,Sembako
PRD040052,Shampo Sunsilk Sachet,1500,37,Perawatan Pribadi
PRD040053,Rokok Sampoerna Mild,30000.00,38,Rokok
PRD040054,Obat Nyamuk Baygon Bakar,6000.00,93,Lainnya
PRD040055,Pasta Gigi Pepsodent 190g,Rp 12500,45,Perawatan Pribadi
PRD040056,Indomie Kuah Ayam Bawang, 2800 ,51.0,Makanan
,Garam Refina 250g,3500,65,Bumbu
PRD040058,Kecap ABC Pouch 220ml,Rp 9.500,2.0,Bumbu
PRD040059,Popok Sweety Bronze Pants L, 48000 ,61,Perawatan Bayi
PRD040060,Indomie Kari Ayam,2800.00,51,Makanan
PRD040061,Obat Nyamuk Hit Spray,35000,7,Lainnya
PRD040062,Aqua Gelas 240ml,Rp 1.000,42.0,Minuman
PRD040063,Pembersih Lantai Wipol 750ml,18000,96.0,Pembersih
PRD040064,Shampo Pantene Sachet,1500,7,Perawatan Pribadi
PRD040065,Pembersih Lantai Super Pell 770ml,Rp 13.500,56,Pembersih
PRD040066,Kopi ABC Susu,,27,Minuman
PRD040067,Kapur Barus Bagus,15000,71,Lainnya
PRD040068,Margarin Forvita 200g,Rp 7000,43,Sembako
PRD040069,Minyak Sania 2L,Rp 34.500,3.0,Sembako
PRD040070,Susu Indomilk Sachet,Rp 1.500,24,Minuman
PRD040071,Saus Sambal Indofood 340ml,,39.0,Bumbu
PRD040072,Tepung Beras Rose Brand 500g, 7500 ,-85,Sembako
PRD040073,Rokok Gudang Garam Filter, 23000 ,56.0,Rokok
PRD040074,Rokok Gudang Garam Filter,Rp 23000,80,Rokok
PRD040075,Rokok Djarum Super,Rp 22.000,53,Rokok
PRD040076,Popok Sweety Bronze Pants L,,46,Perawatan Bayi
PRD040077,Korek Api Gas Tokai,3000,87,
PRD040078,Teh Pucuk Harum 350ml,Rp 4000,84.0,Minuman
PRD040079,Sabun Lux Mawar,Rp 4500,16,Perawatan Pribadi
PRD040080,Rokok Djarum Super,22000,26,Rokok
PRD040081,Aqua Gelas 240ml,,36,Minuman
,Saus Sambal Indofood 340ml,14500,23,Bumbu
PRD040083,Margarin Forvita 200g, 7000 ,91,Sembako
PRD040084,Rokok Sampoerna Mild,30000,,Rokok
PRD040085,Popok MamyPoko Pants M,55000,79,Perawatan Bayi
PRD040086,Susu Indomilk Sachet,,19,Minuman
PRD040087,Kopi Kapal Api Sachet,1500,82,
PRD040088,Teh Sariwangi Celup,6500.00,31,Minuman
PRD040089,Aqua Galon,21000.00,,Minuman
PRD040090,Deterjen Daia 850g,18500,88,Pembersih
PRD040091,Susu Indomilk Sachet,Rp 1.500,38,Minuman
PRD040092,Gula Curah 1kg,15000.00,74,Sembako
PRD040093,Obat Nyamuk Baygon Bakar,Rp 6.000,39,Lainnya
PRD040094,Bumbu Racik Indofood Sayur Asem,Rp 2.500,88,Bumbu
,Teh Celup Sosro,Rp 7000,,Minuman
PRD040096,Rokok Marlboro Merah,38000,,Rokok
PRD040097,Bumbu Racik Indofood Nasi Goreng, 2500 ,85,Bumbu
PRD040098,Saus Sambal Indofood 340ml,14500,-88,
PRD040099,Indomie Goreng,3000,34,
PRD040100,Teh Celup Sosro,7000,1,Minuman
PRD040101,Pembersih Lantai Super Pell 770ml, 13500 ,87,Pembersih
PRD040102,Beras Pandan Wangi 5kg,70000,-77,Sembako
PRD040103,Margarin Forvita 200g,Rp 7000,70,Sembako
PRD040104,Tepung Beras Rose Brand 500g,Rp 7.500,68,Sembako
PRD040105,Susu Dancow Sachet, 3500 ,54,Minuman
PRD040106,Shampo Pantene Sachet,1500.00,6,Perawatan Pribadi
PRD040107,Indomie Goreng,3000,85,Makanan
PRD040108,Garam Kapal 250g,3000,94,Bumbu
PRD040109,Susu Indomilk Sachet,1500,70,Minuman
PRD040110,Sikat Gigi Formula,Rp 6000,-37,
PRD040111,Korek Api Gas Tokai,3000,21,Lainnya
PRD040112,,3000.00,98,Lainnya
PRD040113,Sikat Gigi Formula,6000.00,8,Perawatan Pribadi
PRD040114,Minyak Bimoli 2L,Rp 35.000,64,Sembako
PRD040115,Sabun Lifebuoy Merah,Rp 4000,74,Perawatan Pribadi
PRD040116,Saus Sambal ABC 340ml,Rp 15000,29,Bumbu
PRD040117,Baterai Alkalin AA (2 pcs),15000.00,7,Lainnya
PRD040118,Shampo Clear Sachet, 1500 ,88,Perawatan Pribadi
PRD040119,Susu Indomilk Sachet,1500,12,Minuman
PRD040120,Teh Sariwangi Celup, 6500 ,43,Minuman
PRD040121,Pembersih Lantai Wipol 750ml, 18000 ,85,Pembersih
PRD040122,Shampo Clear Sachet,1500,63,Perawatan Pribadi
PRD040123,Popok MamyPoko Pants M,Rp 55.000,26,Perawatan Bayi
PRD040124,Kopi ABC Susu,1500,-4,Minuman
PRD040125,Popok MamyPoko Pants M,Rp 55.000,13,Perawatan Bayi
PRD040126,Deterjen Rinso Anti Noda 700g,22000.00,50.0,Pembersih
PRD040127,Sprite Botol 390ml,5000.00,26,Minuman
PRD040128,Coca Cola Botol 390ml, 5000 ,,Minuman
PRD040129,Pembersih Lantai Super Pell 770ml,13500.00,92,Pembersih
PRD040130,Kopi Torabika Susu, 1500 ,3.0,Minuman
PRD040131,Bumbu Racik Indofood Sayur Asem,2500.00,95,Bumbu
PRD040132,Saus Sambal ABC 340ml, 15000 ,19.0,Bumbu
PRD040133,Obat Nyamuk Baygon Bakar,6000.00,88,Lainnya
PRD040134,Minyak Bimoli 2L,Rp 35.000,9,Sembako
PRD040135,Tepung Terigu Segitiga Biru 1kg,13000,28,Sembako
PRD040136,Mie Sedap Goreng,2900,,Makanan
PRD040137,,48000,65,Perawatan Bayi
PRD040138,,,26,Rokok
PRD040139,Tepung Terigu Segitiga Biru 1kg,13000.00,76,Sembako
PRD040140,, 20000 ,-4,Perawatan Pribadi
PRD040141,Margarin Blue Band 200g,9500,27,Sembako
,Shampo Pantene Sachet,Rp 1.500,25,Perawatan Pribadi
,Kecap ABC Pouch 220ml,9500,37,Bumbu
PRD040144,Saus Sambal ABC 340ml,Rp 15.000,6,Bumbu
PRD040145,Rokok Gudang Garam Filter,Rp 23000,87,Rokok
,Bumbu Racik Indofood Nasi Goreng,2500,44,Bumbu
PRD040147,,Rp 15000,15,Sembako
PRD040148,Rokok Djarum Super,22000,92,Rokok
PRD040149,Deterjen Daia 850g,Rp 18.500,-28,Pembersih
PRD040150,Tepung Beras Rose Brand 500g,7500.00,63,Sembako
PRD040151,Korek Api Gas Tokai,3000,-55,Lainnya
PRD040152,Kecap ABC Pouch 220ml,9500,-93,Bumbu
PRD040153,Rokok Djarum Super,22000,91,Rokok
PRD040154,Tepung Beras Rose Brand 500g,7500,-7,Sembako
PRD040155,,5000,97,Minuman
,Teh Sariwangi Celup,6500.00,41,Minuman
PRD040157,Deterjen Daia 850g,Rp 18.500,90,Pembersih
PRD040158,Saus Sambal Indofood 340ml,Rp 14500,71,Bumbu
PRD040159,Minyak Curah 1L,Rp 16.000,67,Sembako
PRD040160,Minyak Sania 2L,Rp 34500,95,Sembako
PRD040161,Rokok Surya 16,,95.0,Rokok
PRD040162,Margarin Forvita 200g,Rp 7.000,35,Sembako
PRD040163,Obat Nyamuk Baygon Bakar,Rp 6.000,40,Lainnya
,Kapur Barus Bagus,15000,21,Lainnya
PRD040165,Indomie Kuah Soto,2800,84,Makanan
PRD040166,Kapur Barus Bagus, 15000 ,,Lainnya
PRD040167,Indomie Goreng,Rp 3.000,96,
PRD040168,Indomie Kuah Soto,2800,9,Makanan
PRD040169,Kopi Torabika Susu,1500.00,78,Minuman
PRD040170,Susu Dancow Sachet,3500,90,Minuman
PRD040171,Beras Pandan Wangi 5kg, 70000 ,100,Sembako
PRD040172,Kecap Bango Pouch 220ml,Rp 11000,43,Bumbu
PRD040173,Susu Dancow Sachet, 3500 ,85,Minuman
PRD040174,Minyak Filma 2L,34000.00,-95,Sembako
PRD040175,Shampo Lifebuoy Sachet, 1000 ,53,Perawatan Pribadi
PRD040176,Pembalut Charm Cooling Fresh, 18000 ,68,Perawatan Pribadi
PRD040177,Rokok Marlboro Merah,Rp 38000,,Rokok
PRD040178,Beras Ramos 5kg,65000,12,Sembako
PRD040179,Minyak Curah 1L,16000,56,Sembako
PRD040180,Baterai ABC Sedang (2 pcs),10000,94.0,Lainnya
PRD040181,Margarin Blue Band 200g,9500,90,Sembako
PRD040182,Obat Nyamuk Hit Spray, 35000 ,,Lainnya
PRD040183,Minyak Filma 2L,Rp 34000,92,Sembako
PRD040184,Sikat Gigi Formula,6000.00,35.0,Perawatan Pribadi
PRD040185,Aqua Botol 600ml,Rp 3500,63,Minuman
PRD040186,Beras Pandan Wangi 5kg,70000,31,Sembako
PRD040187,Beras Rojolele 5kg,67000,66.0,Sembako
PRD040188,Pasta Gigi Ciptadent 190g,10000,-91,Perawatan Pribadi
PRD040189,Minyak Curah 1L,16000.00,50,Sembako
PRD040190,Beras Rojolele 5kg,Rp 67.000,80,Sembako
PRD040191,Susu Indomilk Sachet,1500.00,52,Minuman
PRD040192,Tisu Tessa 250s,17000,64,
PRD040193,Deterjen Rinso Anti Noda 700g,22000.00,96,Pembersih
PRD040194,Tepung Terigu Segitiga Biru 1kg,13000,7,Sembako
PRD040195,Tisu Paseo 250s,18500,84,Lainnya
PRD040196,Rokok Marlboro Merah,38000,35.0,Rokok
,Aqua Gelas 240ml,1000.00,83,Minuman
PRD040198,,1000.00,63.0,Minuman
,Tepung Tapioka Rose Brand 500g,8000,33,Sembako
PRD040200,Kopi ABC Susu,1500.00,29.0,Minuman
PRD040201,Susu Indomilk Sachet,1500,57.0,Minuman
PRD040202,Beras Pandan Wangi 5kg,Rp 70000,-47,Sembako
PRD040203,Margarin Blue Band 200g,Rp 9.500,41,Sembako
PRD040204,Aqua Gelas 240ml,1000.00,72,Minuman
PRD040205,Sabun Mandi Dettol,Rp 5000,88,Perawatan Pribadi
,Popok MamyPoko Pants M,Rp 55000,52,Perawatan Bayi
PRD040207,Tepung Terigu Segitiga Biru 1kg,Rp 13.000,65,Sembako
PRD040208,Aqua Gelas 240ml,1000.00,78,Minuman
PRD040209,Baterai ABC Sedang (2 pcs), 10000 ,32,Lainnya
PRD040210,Susu Indomilk Sachet,Rp 1.500,8,Minuman
,Rokok Marlboro Merah,Rp 38000,,Rokok
PRD040212,Kopi Torabika Susu, 1500 ,8.0,Minuman
,Minyak Curah 1L,16000,48,Sembako
PRD040214,Aqua Botol 600ml,Rp 3.500,74,Minuman
PRD040215,,Rp 10.500,47,Minuman
PRD040216,Sabun Cuci Piring Sunlight 460ml,Rp 11.000,95.0,Pembersih
PRD040217,Rokok Sampoerna Mild,30000,35,Rokok
PRD040218,Le Minerale 600ml,3500,80,Minuman
PRD040219,Saus Sambal ABC 340ml,15000.00,40,Bumbu
PRD040220,Kopi Nescafe Classic,Rp 5000,19.0,Minuman
PRD040221,Sabun Nuvo Biru,Rp 3.500,82,Perawatan Pribadi
PRD040222,Popok MamyPoko Pants M, 55000 ,51,Perawatan Bayi
PRD040223,Teh Celup Sosro,7000,39,Minuman
PRD040224,Beras Ramos 5kg, 65000 ,41,Sembako
PRD040225,Obat Nyamuk Baygon Bakar,,27.0,Lainnya
PRD040226,Kopi Torabika Susu,1500,64,Minuman
PRD040227,Sprite Botol 390ml,Rp 5.000,92,Minuman
PRD040228,Sabun Cuci Piring Sunlight 460ml,Rp 11.000,30.0,Pembersih
PRD040229,Pasta Gigi Pepsodent 190g,12500,89,Perawatan Pribadi
PRD040230,Saus Sambal ABC 340ml,15000,58,Bumbu
PRD040231,Sprite Botol 390ml,Rp 5000,85,Minuman
PRD040232,Susu Bear Brand,Rp 10.500,29,Minuman
,Rokok Gudang Garam Filter,Rp 23000,43,Rokok
PRD040234,Minyak Filma 2L, 34000 ,81,Sembako
