kd_brg,nm_brg,hrg,jml,ktg
PRD090001,Aqua Galon,Rp 21000,66,Minuman
PRD090002,Gula Pasir Gulaku 1kg,Rp 16.000,82,Sembako
PRD090003,Obat Nyamuk Baygon Bakar, 6000 ,43,Lainnya
PRD090004,Kapur Barus Bagus,15000.00,90.0,Lainnya
PRD090005,Indomie Kuah Ayam Bawang,2800.00,-59,Makanan
PRD090006,Le Minerale 600ml, 3500 ,30,Minuman
PRD090007,Indomie Kuah Ayam Bawang,Rp 2.800,28,Makanan
PRD090008,Susu Frisian Flag Sachet,Rp 1.500,-67,Minuman
PRD090009,Pasta Gigi Ciptadent 190g,Rp 10.000,66.0,Perawatan Pribadi
PRD090010,,1500,53,Minuman
PRD090011,Margarin Blue Band 200g,9500,32,Sembako
PRD090012,,55000,33,Perawatan Bayi
,Kecap Bango Pouch 220ml,Rp 11.000,-54,Bumbu
PRD090014,Rokok Sampoerna Mild,30000,73,Rokok
PRD090015,Rokok Sampoerna Mild,30000,5,Rokok
PRD090016,,9500.00,,Sembako
PRD090017,Mie Sedap Goreng,Rp 2.900,70,Makanan
PRD090018,Susu Frisian Flag Sachet,Rp 1500,13,Minuman
PRD090019,Fanta Merah 390ml,5000,16,Minuman
PRD090020,Popok MamyPoko Pants M,Rp 55.000,36,Perawatan Bayi
PRD090021,Kopi Luwak White Koffie,2000,53.0,Minuman
PRD090022,,Rp 9.500,51,Pembersih
PRD090023,Aqua Galon,21000,15,Minuman
PRD090024,Pembalut Charm Cooling Fresh,18000.00,90.0,Perawatan Pribadi
PRD090025,Pasta Gigi Ciptadent 190g,,49,Perawatan Pribadi
PRD090026,,,-35,Minuman
PRD090027,Teh Sariwangi Celup, 6500 ,81,Minuman
PRD090028,Saus Sambal Indofood 340ml,Rp 14500,82,Bumbu
PRD090029,Indomie Kari Ayam,Rp 2.800,72,Makanan
PRD090030,Indomie Goreng,3000,65,Makanan
PRD090031,Sabun Cuci Piring Sunlight 460ml,Rp 11000,21,Pembersih
PRD090032,,Rp 2500,47,Bumbu
PRD090033,Baterai Alkalin AA (2 pcs),Rp 15000,11,Lainnya
PRD090034,,Rp 10000,85,Lainnya
PRD090035,Aqua Gelas 240ml,1000.00,-21,Minuman
PRD090036,, 4000 ,54,Perawatan Pribadi
PRD090037,Indomie Kuah Ayam Bawang,2800,59,Makanan
PRD090038,Baterai ABC Sedang (2 pcs),10000.00,93,Lainnya
PRD090039,Bumbu Racik Indofood Sayur Asem,,77,Bumbu
PRD090040,Deterjen Daia 850g,18500,85,Pembersih
PRD090041,Coca Cola Botol 390ml,5000,16,Minuman
PRD090042,Aqua Galon,Rp 21.000,70,Minuman
PRD090043,Rokok Gudang Garam Filter,Rp 23.000,65,Rokok
PRD090044,Kapur Barus Bagus, 15000 ,-55,Lainnya
PRD090045,Minyak Curah 1L,Rp 16000,17,Sembako
PRD090046,Baterai Alkalin AA (2 pcs),Rp 15000,29,Lainnya
PRD090047,Minyak Bimoli 2L,Rp 35.000,84,Sembako
PRD090048,Fanta Merah 390ml,5000.00,,Minuman
PRD090049,Margarin Blue Band 200g,9500.00,40,Sembako
PRD090050,Popok MamyPoko Pants M,55000,68,Perawatan Bayi
PRD090051,Rokok Djarum Super,Rp 22000,-6,Rokok
PRD090052,Deterjen Rinso Anti Noda 700g,Rp 22000,34,Pembersih
,Popok MamyPoko Pants M,55000.00,30,Perawatan Bayi
PRD090054,Indomie Kuah Ayam Bawang,2800,-78,Makanan
PRD090055,Gula Curah 1kg,15000,45,Sembako
PRD090056,Kapur Barus Bagus,Rp 15000,20,Lainnya
PRD090057,Gula Curah 1kg,15000,99,Sembako
PRD090058,Kopi ABC Susu,1500.00,92,Minuman
PRD090059,Indomie Kuah Soto,2800.00,84,Makanan
PRD090060,Kopi Kapal Api Sachet,Rp 1.500,7,Minuman
PRD090061,Kapur Barus Bagus,Rp 15000,32.0,Lainnya
PRD090062,Kecap ABC Pouch 220ml,Rp 9.500,53,Bumbu
PRD090063,Minyak Filma 2L,34000,51,Sembako
PRD090064,Obat Nyamuk Hit Spray,Rp 35.000,52,Lainnya
PRD090065,Sikat Gigi Formula,Rp 6.000,-79,Perawatan Pribadi
PRD090066,Kapur Barus Bagus,Rp 15000,75,Lainnya
,, 4000 ,61,Minuman
PRD090068,Rokok Djarum Super,22000,62,Rokok
PRD090069,Saus Sambal Indofood 340ml,Rp 14500,70,Bumbu
PRD090070,Susu Bear Brand,10500,13,Minuman
PRD090071,Saus Sambal Indofood 340ml,14500,25,Bumbu
PRD090072,Garam Kapal 250g, 3000 ,10,Bumbu
PRD090073,Sabun Lifebuoy Merah, 4000 ,77,Perawatan Pribadi
PRD090074,Gula Pasir Gulaku 1kg,16000,23.0,Sembako
PRD090075,Shampo Sunsilk Sachet,Rp 1500,49,Perawatan Pribadi
,Gula Curah 1kg, 15000 ,6,Sembako
PRD090077,Coca Cola Botol 390ml,5000.00,56,Minuman
PRD090078,Minyak Bimoli 2L,35000,92,Sembako
,Kecap ABC Pouch 220ml,9500,19,Bumbu
PRD090080,Pasta Gigi Pepsodent 190g,12500,95,Perawatan Pribadi
PRD090081,Korek Api Gas Tokai,Rp 3000,12,Lainnya
PRD090082,Aqua Gelas 240ml, 1000 ,-32,Minuman
,Rokok Marlboro Merah,Rp 38.000,2,Rokok
PRD090084,Aqua Gelas 240ml,1000,,Minuman
PRD090085,Indomie Kari Ayam,2800.00,52,Makanan
PRD090086,Tepung Tapioka Rose Brand 500g,Rp 8000,-3,Sembako
PRD090087,Obat Nyamuk Hit Spray,35000.00,-90,Lainnya
PRD090088,Pembersih Lantai Wipol 750ml,Rp 18000,48.0,Pembersih
