prodcut_id,pruduct_name,hargaa,stcok,katgori
PRD120001,Baterai Alkalin AA (2 pcs),Rp 15.000,27,Lainnya
PRD120002,Pembersih Lantai Wipol 750ml,Rp 18000,38,Pembersih
PRD120003,Shampo Lifebuoy Sachet,1000,66,Perawatan Pribadi
PRD120004,Minyak Filma 2L,Rp 34000,30,Sembako
PRD120005,Tisu Tessa 250s, 17000 ,40,Lainnya
PRD120006,Popok Sweety Bronze Pants L,Rp 48000,80,
PRD120007,Rokok Djarum Super,22000,54,Rokok
PRD120008,Beras Pandan Wangi 5kg,70000.00,38.0,Sembako
PRD120009,Teh Sariwangi Celup,Rp 6500,21,Minuman
PRD120010,Shampo Lifebuoy Sachet, 1000 ,-11,Perawatan Pribadi
PRD120011,Bumbu Racik Indofood Sayur Asem,2500,13,Bumbu
PRD120012,Rokok Djarum Super,Rp 22.000,6,Rokok
,Baterai Alkalin AA (2 pcs),15000.00,-34,Lainnya
,Tepung Beras Rose Brand 500g,Rp 7500,56,Sembako
PRD120015,Susu Indomilk Sachet,Rp 1.500,19,Minuman
PRD120016,Pembalut Laurier Relax Night,20000,44,Perawatan Pribadi
PRD120017,Shampo Lifebuoy Sachet, 1000 ,55.0,Perawatan Pribadi
PRD120018,Saus Sambal ABC 340ml,15000,43,Bumbu
PRD120019,Sabun Cuci Piring Sunlight 460ml,11000,49,Pembersih
PRD120020,Sprite Botol 390ml,Rp 5000,2,Minuman
PRD120021,,Rp 15.000,43,Bumbu
PRD120022,Margarin Forvita 200g,7000.00,80,Sembako
PRD120023,Garam Kapal 250g,Rp 3000,32,Bumbu
PRD120024,Kapur Barus Bagus,15000,48,Lainnya
PRD120025,Pembersih Lantai Wipol 750ml,Rp 18.000,,
PRD120026,Pembalut Charm Cooling Fresh,Rp 18000,35.0,Perawatan Pribadi
PRD120027,Teh Sariwangi Celup,6500.00,88,Minuman
PRD120028,Kopi Luwak White Koffie,2000,68.0,Minuman
PRD120029,Deterjen Daia 850g,18500,18,Pembersih
PRD120030,Bumbu Racik Indofood Sayur Asem, 2500 ,30,Bumbu
PRD120031,Popok Sweety Bronze Pants L,48000,14,Perawatan Bayi
PRD120032,Sabun Mandi Dettol,5000.00,7,Perawatan Pribadi
PRD120033,Beras Rojolele 5kg,Rp 67000,98,Sembako
PRD120034,Minyak Bimoli 2L,35000.00,-21,Sembako
PRD120035,Minyak Sania 2L,Rp 34500,4,Sembako
PRD120036,Tepung Beras Rose Brand 500g,7500.00,49,Sembako
PRD120037,Minyak Sania 2L,Rp 34500,56,Sembako
PRD120038,,6500,10,Minuman
PRD120039,Susu Dancow Sachet, 3500 ,21,Minuman
PRD120040,Indomie Goreng, 3000 ,27,Makanan
PRD120041,Deterjen Daia 850g, 18500 ,44.0,Pembersih
PRD120042,Sabun Cuci Piring Sunlight 460ml,11000,42,Pembersih
PRD120043,Pembersih Lantai Super Pell 770ml,Rp 13500,28,Pembersih
PRD120044,Minyak Filma 2L,34000,,Sembako
PRD120045,Saus Sambal Indofood 340ml,14500,73,Bumbu
