tbl_product_id,nama_lengkap_produk,harga_jual_per_unit,jumlah_stok_tersedia,kategori_produk
PRD140001,Sabun Lifebuoy Merah, 4000 ,45,Perawatan Pribadi
PRD140002,,Rp 55000,59.0,Perawatan Bayi
PRD140003,Pasta Gigi Ciptadent 190g,10000,85,Perawatan Pribadi
PRD140004,Beras Pandan Wangi 5kg,Rp 70.000,10,Sembako
PRD140005,Saus Sambal ABC 340ml,15000.00,6,Bumbu
,Korek Api Gas Tokai,3000.00,28,Lainnya
PRD140007,Le Minerale 600ml,3500,7,Minuman
PRD140008,Deterjen Attack Jaz1 800g,19000.00,68,Pembersih
PRD140009,Sabun Cuci Piring Sunlight 460ml,Rp 11000,49,Pembersih
PRD140010,Mie Sedap Goreng,Rp 2.900,19,Makanan
PRD140011,Shampo Lifebuoy Sachet,1000,88,Perawatan Pribadi
PRD140012,Beras Ramos 5kg,Rp 65.000,-67,Sembako
,Indomie Kari Ayam,2800,20,
PRD140014,Mie Sedap Goreng,Rp 2.900,56.0,Makanan
PRD140015,Indomie Kari Ayam,2800.00,38,Makanan
PRD140016,Kopi ABC Susu,Rp 1500,6,Minuman
PRD140017,Rokok Sampoerna Mild, 30000 ,78,Rokok
PRD140018,Susu Dancow Sachet,Rp 3500,21,Minuman
,,Rp 30000,91.0,Rokok
PRD140020,Tisu Paseo 250s,Rp 18.500,49,Lainnya
PRD140021,Minyak Curah 1L,Rp 16.000,62,Sembako
PRD140022,Aqua Galon,21000,54,Minuman
,Sabun Mandi Dettol,,-92,Perawatan Pribadi
PRD140024,Gula Curah 1kg, 15000 ,21,Sembako
PRD140025,,31000.00,44,Rokok
PRD140026,Korek Api Gas Tokai,,69,Lainnya
PRD140027,Sabun Mandi Dettol,5000.00,25.0,
PRD140028,Kopi Luwak White Koffie,Rp 2.000,90,Minuman
PRD140029,Indomie Kuah Ayam Bawang,2800.00,69,Makanan
PRD140030,,Rp 4.000,87,Perawatan Pribadi
PRD140031,,65000.00,40.0,Sembako
PRD140032,Minyak Bimoli 2L,Rp 35.000,-50,Sembako
PRD140033,Kecap ABC Pouch 220ml,Rp 9.500,7,Bumbu
PRD140034,Fanta Merah 390ml,,66,Minuman
PRD140035,Sabun Cuci Piring Mama Lemon 400ml,9500.00,11,Pembersih
PRD140036,Rokok Marlboro Merah,Rp 38000,74,Rokok
PRD140037,Tisu Tessa 250s,Rp 17000,,Lainnya
PRD140038,Rokok Gudang Garam Filter,Rp 23000,82,Rokok
PRD140039,Teh Sariwangi Celup,6500.00,67,Minuman
PRD140040,,1000,-100,Minuman
PRD140041,Gula Pasir Gulaku 1kg,Rp 16000,47,
PRD140042,Saus Sambal Indofood 340ml,14500.00,83,Bumbu
PRD140043,Rokok Gudang Garam Filter,23000.00,38,Rokok
