product_id,product_name,price,stock,category,source_file
RTL002,Minyak Goreng 2L,31500,12,Daily,cabang_cilegon.csv
RTL003,Sabun Mandi Cair,24000,80,Soap,cabang_cilegon.csv
RTL006,Kopi Instan,3000,500,Drink,cabang_cilegon.csv
RTL001,Beras Premium 5kg,65000,50,Sembako,cabang_tangerang.csv
RTL002,Minyak Goreng 2L,32000,30,Sembako,cabang_tangerang.csv
RTL003,Sabun Mandi Cair,25000,100,Kebutuhan Mandi,cabang_tangerang.csv
RTL001,Beras Premium 5kg,64500,45,Food,cabang_jakarta.csv
RTL004,Susu UHT 1L,18000,20,Beverage,cabang_jakarta.csv
RTL005,Roti Tawar,15000,15,Food,cabang_jakarta.csv
RTL101,Beras Pandan Wangi 5kg,18500,15,sembako,cabang_serang.csv
RTL102,Sabun Cuci Piring,13.500,8,pembersih,cabang_serang.csv
RTL103,Kopi Sachet 3in1,Rp 9.000,dua_belas,minuman,cabang_serang.csv
RTL104,Minyak Goreng 1L,28000,,daily,cabang_serang.csv
RTL201,Teh Botol 350ml,5000,18,Minuman,cabang_bogor.csv
RTL202,Gula Pasir 1kg,17000,50,Sembako,cabang_bogor.csv
RTL203,Keripik Singkong,12000,7,Snack,cabang_bogor.csv
RTL204,Sabun Cuci Tangan,15000,0,Daily,cabang_bogor.csv
